author,ID,citation,title,year,source,doi,link,remarks
Solis M. A.,10094,"Solis M. A., 2008, New sightings of Glyphodes onychinalis (Guenée) (Pyraloidea: Crambidae: Spilomelinae), a recent arrival to the United States with a description of the larva reared on oleander (Nerium sp.) in California. vol 50 issue 3–4 pages 79–80","New sightings of Glyphodes onychinalis (Guenée) (Pyraloidea: Crambidae: Spilomelinae), a recent arrival to the United States with a description of the larva reared on oleander (Nerium sp.) in California.",2008,,,,
Sutrisno H.,10096,"Sutrisno H., 2003, Phylogeny of Glyphodes (Lepidoptera: Crambidae: Spilomelinae) based on nucleotide sequence variation in a mitochondrial CO I gene: congruence with morphological data. vol 33 issue 1 pages 35–42",Phylogeny of Glyphodes (Lepidoptera: Crambidae: Spilomelinae) based on nucleotide sequence variation in a mitochondrial CO I gene: congruence with morphological data.,2003,,,https://e-journal.biologi.lipi.go.id/index.php/treubia/article/view/562/367,
Diakonoff A.,10097,"Diakonoff A., 1950, The type specimens of certain Oriental Eucosmidae and Carposinidae (Microlepidoptera) described by Edward Meyrick, together with descriptions of new Eucosmidae and Carposinidae in the British Museum (Natural History). vol 1 issue 4 pages 273–300","The type specimens of certain Oriental Eucosmidae and Carposinidae (Microlepidoptera) described by Edward Meyrick, together with descriptions of new Eucosmidae and Carposinidae in the British Museum (Natural History).",1950,,,https://www.biodiversitylibrary.org/page/2258103,
Yuan D. & Robinson G. S.,10098,"Yuan D. & Robinson G. S., 1983, Caloptilia leaf-miner moths (Gracillariidae) of South-East Asia. vol 62 issue  pages 1–37",Caloptilia leaf-miner moths (Gracillariidae) of South-East Asia.,1983,,,,
Solis M. A.,10099,"Solis M. A., 2009, Obituary. Eugene G. Munroe (8 September 1919–31 May 2008). vol 63 issue 1 pages 52–57",Obituary. Eugene G. Munroe (8 September 1919–31 May 2008).,2009,,,https://images.peabody.yale.edu/lepsoc/jls/2000s/2009/2009-63-1-052.pdf,
Yakovlev R. V.,10100,"Yakovlev R. V., 2005, New data on distribution and systematic of Cossidae (Lepidoptera) of Europe and adjacent territories. vol 1 issue 3–4 pages 18–27",New data on distribution and systematic of Cossidae (Lepidoptera) of Europe and adjacent territories.,2005,,,http://eversmannia.entomology.ru/eversmannia_03-04_18.pdf,
Park K.-T. & Koo J.-M.,10101,"Park K.-T. & Koo J.-M., 2022b, Three new species of the subfamily Torodorinae (Lepidoptera, Lecithoceridae) from Tanzania. vol 5 issue 5 pages 1–9","Three new species of the subfamily Torodorinae (Lepidoptera, Lecithoceridae) from Tanzania.",2022,,,https://medwinpublishers.com/IZAB/three-new-species-of-the-subfamily-torodorinae-lepidoptera-lecithoceridae-from-tanzania.pdf,
Holloway J. D.,10102,"Holloway J. D., 2011, The Moths of Borneo (part 2): Families Phaudidae, Himantopteridae and Zygaenidae; revised and annotated checklist. vol 2 issue  pages ","The Moths of Borneo (part 2): Families Phaudidae, Himantopteridae and Zygaenidae; revised and annotated checklist.",2011,,,https://www.mothsofborneo.com/vol_2.php,
"Neuenschwander P., Borgemeister C. & Langewald J.",10104,"Neuenschwander P., Borgemeister C. & Langewald J., 2003, Biological control in IPM systems in Africa. vol  issue  pages 1–405",Biological control in IPM systems in Africa.,2003,,,,
"Zahiri R., Holloway J. D., Ghanavi H. R., Aarvik L. & Wahlberg N.",10105,"Zahiri R., Holloway J. D., Ghanavi H. R., Aarvik L. & Wahlberg N., 2022b, The phylogenetic placement of an enigmatic moth Egybolis vaillantina based on museomics. vol  issue  pages ",The phylogenetic placement of an enigmatic moth Egybolis vaillantina based on museomics.,2022,,,,
Park K.-T.,10107,"Park K.-T., 2022, Global biodiversity of the family Lecithoceridae (Gelechioidea) with a brief historical review. vol 14 issue 822 pages 1–10",Global biodiversity of the family Lecithoceridae (Gelechioidea) with a brief historical review.,2022,,,,
Sevastopulo D. G.,10108,"Sevastopulo D. G., 1954a, The genetics of East African Lepidoptera. IV. Aganais speciosa Drury (Arctiidae, Hypsinae). V. Precis sophia Fabricius (Nymphalidae). vol 87 issue 1090 pages 54–56","The genetics of East African Lepidoptera. IV. Aganais speciosa Drury (Arctiidae, Hypsinae). V. Precis sophia Fabricius (Nymphalidae).",1954,,,,
