taxonID,relatedTaxonID,relatedTaxonScientificName,type,referenceID,remarks
S185010290,,Cola sp. ,has host,266,
S185010300,,Syzygium cordatum Hochst. ex Krauss,has host,2056,
S185010300,,Syzygium guineense (Willd.) DC.,has host,10561,
S185010320,,Aphloia theiformis (Vahl.) Benn.,has host,1211,
S185010330,,Blumea balsamifera (L.) DC.,has host,2061,
S185010330,,Blumea lacera (Burm.) DC.,has host,328,
S185010330,,Blumea sp. ,has host,1468,
S185010330,,Trichodesma khasianum C.B.Clarke,has host,,
S185020010,,Cynanchum ellipticum (Harv.) Dyer,has host,2056,
S185020010,,Cynanchum obtusifolium L.,has host,2056,
S185020020,,Strophanthus sp. ,has host,2056,
S185030010,,Allophylus transvaalensis Burtt Davy,has host,2056,
S185030020,,Allophylus natalensis (Sond.) de Winter,has host,2056,
S185030030,,Rhus sp. ,has host,2056,
S185040010,,Abelmoschus esculentus (L.) Moench,has host,7,
S185040010,,Abutilon sp. ,has host,2055,
S185040010,,"Crateulophus somalicus (Masi, 1940)",has parasite,7061,
S185040010,,Gossypium barbadense L.,has host,7,
S185040010,,Gossypium sp. ,has host,7,
S185040010,,Gossypium sp. ,has host,2054,
S185040010,,Gossypium sp. ,has host,5078,
S185040010,,Gossypium sp. ,has host,6968,
S185040010,,Malva sp. ,has host,40,
S185040010,,Urena lobata L.,has host,7,
S185040020,,Syzygium cordatum Hochst. ex Krauss,has host,10561,
S185040070,,Terminalia silozensis Gibbs,has host,2056,
S185050010,,Cordia amplifolia A. DC.,has host,3614,
S185050010,,Ehretia sp. ,has host,3614,
S185050020,,Borago officinalis L.,has host,2081,
S185050020,,Cynoglossum hochstetteri Vatke ex Engl.,has host,1752,
S185050020,,Lithospermum sp. ,has host,2056,
S185050030,,Pavonia columella Cav.,has host,2056,
S185050040,,Cordia caffra Sond.,has host,2056,
S185050050,,Ehretia cymosa var. abyssinica (R. Br. ex Tres.) Brenan,has host,1752,
S185050050,,Ehretia rigida (Thunb.) Druce,has host,1752,
S185050080,,Cordia africana Lam.,has host,1515,
S185050080,,Cordia amplifolia A. DC.,has host,1515,
S185050080,,Cordia myxa Roxb.,has host,273,
S185050080,,Ehretia laevis Roxb.,has host,8018,
S185050080,,Ehretia laevis Roxb.,has host,,
S185050080,,Ehretia microphylla Lamk.,has host,8018,
S185050080,,Ehretia microphylla Lamk.,has host,8325,
